2019-04-03 18:48:59,753 DEBUG | MAIN Processing instances_train2017.json
2019-04-03 18:49:39,716 DEBUG | Category Master
2019-04-03 18:49:39,729 DEBUG | 1  262465
2019-04-03 18:49:39,785 DEBUG | 2  7113
2019-04-03 18:49:39,788 DEBUG | 3  43867
2019-04-03 18:49:39,791 DEBUG | 4  8725
2019-04-03 18:49:39,794 DEBUG | 5  5135
2019-04-03 18:49:39,797 DEBUG | 6  6069
2019-04-03 18:49:39,803 DEBUG | 7  4571
2019-04-03 18:49:39,807 DEBUG | 8  9973
2019-04-03 18:49:39,809 DEBUG | 9  10759
2019-04-03 18:49:39,813 DEBUG | 10  12884
2019-04-03 18:49:39,815 DEBUG | 11  1865
2019-04-03 18:49:39,818 DEBUG | 13  1983
2019-04-03 18:49:39,822 DEBUG | 14  1285
2019-04-03 18:49:39,825 DEBUG | 15  9838
2019-04-03 18:49:39,828 DEBUG | 16  10806
2019-04-03 18:49:39,839 DEBUG | 17  4768
2019-04-03 18:49:39,842 DEBUG | 18  5508
2019-04-03 18:49:39,845 DEBUG | 19  6587
2019-04-03 18:49:39,848 DEBUG | 20  9509
2019-04-03 18:49:39,852 DEBUG | 21  8147
2019-04-03 18:49:39,866 DEBUG | 22  5513
2019-04-03 18:49:39,869 DEBUG | 23  1294
2019-04-03 18:49:39,872 DEBUG | 24  5303
2019-04-03 18:49:39,911 DEBUG | 25  5131
2019-04-03 18:49:39,914 DEBUG | 27  8720
2019-04-03 18:49:39,923 DEBUG | 28  11431
2019-04-03 18:49:39,925 DEBUG | 31  12354
2019-04-03 18:49:39,928 DEBUG | 32  6496
2019-04-03 18:49:39,932 DEBUG | 33  6192
2019-04-03 18:49:39,936 DEBUG | 34  2682
2019-04-03 18:49:39,939 DEBUG | 35  6646
2019-04-03 18:49:39,943 DEBUG | 36  2685
2019-04-03 18:49:39,946 DEBUG | 37  6347
2019-04-03 18:49:39,949 DEBUG | 38  9076
2019-04-03 18:49:39,953 DEBUG | 39  3276
2019-04-03 18:49:39,956 DEBUG | 40  3747
2019-04-03 18:49:39,958 DEBUG | 41  5543
2019-04-03 18:49:39,962 DEBUG | 42  6126
2019-04-03 18:49:39,965 DEBUG | 43  4812
2019-04-03 18:49:39,968 DEBUG | 44  24342
2019-04-03 18:49:39,971 DEBUG | 46  7913
2019-04-03 18:49:39,977 DEBUG | 47  20650
2019-04-03 18:49:39,980 DEBUG | 48  5479
2019-04-03 18:49:39,990 DEBUG | 49  7770
2019-04-03 18:49:40,000 DEBUG | 50  6165
2019-04-03 18:49:40,003 DEBUG | 51  14358
2019-04-03 18:49:40,014 DEBUG | 52  9458
2019-04-03 18:49:40,017 DEBUG | 53  5851
2019-04-03 18:49:40,021 DEBUG | 54  4373
2019-04-03 18:49:40,029 DEBUG | 55  6399
2019-04-03 18:49:40,035 DEBUG | 56  7308
2019-04-03 18:49:40,038 DEBUG | 57  7852
2019-04-03 18:49:40,041 DEBUG | 58  2918
2019-04-03 18:49:40,044 DEBUG | 59  5821
